category,criterion,description
"Institutional and Governance",Scientific Basis for Environmental Targets,"Scientific foundation for environmental goals"
"Institutional and Governance",Stakeholder Involvement in Target Setting,"Role of stakeholders in defining targets"
"Institutional and Governance",Changes in Targets/Metrics,"Adjustments to targets or metrics"
"Institutional and Governance",Performance Against Targets,"Progress measured against set targets"
"Institutional and Governance",List of Complied Disclosure Requirements,"List of reporting requirements fulfilled"
"Institutional and Governance",Datapoints from EU Legislation,"Data required by EU sustainability laws"
Materiality,Materiality Assessment,"Process to evaluate significant risks and impacts"
Materiality,Key Impacts Risks Opportunities,"Identification of critical impacts, risks, and opportunities"
Materiality,Determination of Material Information,"Method to identify material sustainability issues"
Materiality,Explanation if Climate Change Not Material,"Reasoning if climate change is deemed non-material"
Materiality,Explanation if Other Topics Not Material,"Justification for non-materiality of other topics"
Materiality,Risk of Material Adjustment,"Potential for significant financial adjustments"
Materiality,Risks with Significant Adjustment Risk,"Risks likely to require major financial changes"
Materiality,Actions to Remedy Material Impacts,"Steps to address significant sustainability impacts"
Materiality,Identifying and Assessing Adverse Impacts,"Process to detect and evaluate negative impacts"
Materiality,Process for Identifying Impacts,"Steps to pinpoint sustainability impacts"
Materiality,Focus on Specific Activities or Geographies,"Emphasis on key activities or regions for impacts"
Materiality,Consultation with Stakeholders/Experts,"Engagement with stakeholders or experts for assessment"
Materiality,Prioritization of Impacts,"Ranking of impacts by significance"
Materiality,Connections Between Impacts and Risks,"Links between sustainability impacts and risks"
Materiality,Assessment of Likelihood and Magnitude,"Evaluation of probability and scale of impacts"
Materiality,Impacts on People/Environment,"Effects of operations on people and ecosystems"
Materiality,Connection of Impacts to Strategy,"How impacts relate to organizational strategy"
Materiality,Involvement Through Activities/Relationships,"Role of activities or relationships in impacts"
Materiality,Methodologies for Identifying Impacts,"Techniques used to identify key impacts"
